codigo_disciplina,nome_disciplina,creditos,codigo_turma,professor,sala,vagas,dia,inicio,fim
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,B1,JACQUES AVELINE LOUREIRO DA SILVA,Sala 102 - Campus: Vale,38,SEXTA,10:30,12:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,E1,NEWTON LOEBENS,Sala 101 - Campus: Vale,3,SEGUNDA,18:30,20:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,E1,NEWTON LOEBENS,Sala 101 - Campus: Vale,3,QUARTA,18:30,20:10
MAT01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,6,E1,NEWTON LOEBENS,Sala 101 - Campus: Vale,3,SEXTA,18:30,20:10
MAT01169,CÁLCULO NUMÉRICO,6,A1,EVANDRO MANICA,F115 Laboratório de Informática - Campus: Vale,2,SEGUNDA,8:30,10:10
MAT01169,CÁLCULO NUMÉRICO,6,A1,EVANDRO MANICA,F115 Laboratório de Informática - Campus: Vale,2,QUARTA,8:30,10:10
MAT01169,CÁLCULO NUMÉRICO,6,A1,EVANDRO MANICA,F115 Laboratório de Informática - Campus: Vale,2,SEXTA,8:30,10:10
MAT01169,CÁLCULO NUMÉRICO,6,B1,FABIO SOUTO DE AZEVEDO,F115 Laboratório de Informática - Campus: Vale,5,SEGUNDA,10:30,12:10
MAT01169,CÁLCULO NUMÉRICO,6,B1,FABIO SOUTO DE AZEVEDO,F115 Laboratório de Informática - Campus: Vale,5,QUARTA,10:30,12:10
MAT01169,CÁLCULO NUMÉRICO,6,B1,FABIO SOUTO DE AZEVEDO,F115 Laboratório de Informática - Campus: Vale,5,SEXTA,10:30,12:10
MAT01169,CÁLCULO NUMÉRICO,6,D1,ALVARO LUIZ DE BORTOLI,F115 Laboratório de Informática - Campus: Vale,1,SEGUNDA,15:30,17:10
MAT01169,CÁLCULO NUMÉRICO,6,D1,ALVARO LUIZ DE BORTOLI,F115 Laboratório de Informática - Campus: Vale,1,QUARTA,15:30,17:10
MAT01169,CÁLCULO NUMÉRICO,6,D1,ALVARO LUIZ DE BORTOLI,F115 Laboratório de Informática - Campus: Vale,1,SEXTA,15:30,17:10
MAT01169,CÁLCULO NUMÉRICO,6,E1,ROBERT HENRIQUE RODRIGUES GUTERRES,F115 Laboratório de Informática - Campus: Vale,2,SEGUNDA,18:30,20:10
MAT01169,CÁLCULO NUMÉRICO,6,E1,ROBERT HENRIQUE RODRIGUES GUTERRES,F115 Laboratório de Informática - Campus: Vale,2,QUARTA,18:30,20:10
MAT01169,CÁLCULO NUMÉRICO,6,E1,ROBERT HENRIQUE RODRIGUES GUTERRES,F115 Laboratório de Informática - Campus: Vale,2,SEXTA,18:30,20:10
INF01058,CIRCUITOS DIGITAIS,4,A,Mateus Grellert da Silva,Sala de Aula 108 - 43413 - Campus: Vale,10,TERCA,10:30,12:10
INF01058,CIRCUITOS DIGITAIS,4,A,Mateus Grellert da Silva,Sala de Aula 108 - 43413 - Campus: Vale,10,QUINTA,10:30,12:10
INF01058,CIRCUITOS DIGITAIS,4,B,RENATO PEREZ RIBAS,Sala de Aula 108 - 43413 - Campus: Vale,10,SEGUNDA,8:30,10:10
INF01058,CIRCUITOS DIGITAIS,4,B,RENATO PEREZ RIBAS,Sala de Aula 108 - 43413 - Campus: Vale,10,QUARTA,8:30,10:10
INF01058,CIRCUITOS DIGITAIS,4,C,ANDRE INACIO REIS,Sala de Aula 108 - 43413 - Campus: Vale,10,SEGUNDA,10:30,12:10
INF01058,CIRCUITOS DIGITAIS,4,C,ANDRE INACIO REIS,Sala de Aula 108 - 43413 - Campus: Vale,10,QUARTA,10:30,12:10
ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,CARLOS EDUARDO PEREIRA,sala de aula 052 - Campus: Centro,5,SEGUNDA,13:30,15:10
ENG10001,CIRCUITOS ELÉTRICOS I - C,4,A,CARLOS EDUARDO PEREIRA,sala de aula 052 - Campus: Centro,5,QUARTA,13:30,15:10
ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,WALTER FETTER LAGES,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,5,TERCA,13:30,15:10
ENG10001,CIRCUITOS ELÉTRICOS I - C,4,B,WALTER FETTER LAGES,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,5,QUINTA,13:30,15:10
ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,BIBIANA MAITÊ PETRY FERRAZ,Sala 303 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,5,TERCA,13:30,15:10
ENG10002,CIRCUITOS ELÉTRICOS II - C,4,A,BIBIANA MAITÊ PETRY FERRAZ,Sala 303 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,5,QUINTA,13:30,15:10
ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,ALCEU HEINKE FRIGERI,Sala 303 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,5,SEGUNDA,13:30,15:10
ENG10002,CIRCUITOS ELÉTRICOS II - C,4,B,ALCEU HEINKE FRIGERI,Sala 303 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,5,SEXTA,13:30,15:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,A,HAMILTON DUARTE KLIMACH,Sala 303 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,3,TERCA,10:30,12:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,A,HAMILTON DUARTE KLIMACH,202 - Laboratório de Ensino de Graduação - Campus: Centro,3,TERCA,13:30,15:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,A,HAMILTON DUARTE KLIMACH,Sala 303 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,3,QUINTA,10:30,12:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,B,HAMILTON DUARTE KLIMACH,Sala 303 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,3,TERCA,10:30,12:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,B,HAMILTON DUARTE KLIMACH,202 - Laboratório de Ensino de Graduação - Campus: Centro,3,TERCA,15:30,17:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,B,HAMILTON DUARTE KLIMACH,Sala 303 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,3,QUINTA,10:30,12:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,E,GILSON INACIO WIRTH,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,9,SEGUNDA,8:30,10:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,E,GILSON INACIO WIRTH,202 - Laboratório de Ensino de Graduação - Campus: Centro,9,SEGUNDA,10:30,12:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,E,GILSON INACIO WIRTH,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,9,QUARTA,8:30,10:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,F,GILSON INACIO WIRTH,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,9,SEGUNDA,8:30,10:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,F,GILSON INACIO WIRTH,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,9,QUARTA,8:30,10:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,F,GILSON INACIO WIRTH,202 - Laboratório de Ensino de Graduação - Campus: Centro,9,QUARTA,10:30,12:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,G,GILSON INACIO WIRTH,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,14,SEGUNDA,8:30,10:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,G,GILSON INACIO WIRTH,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,14,QUARTA,8:30,10:10
ENG04077,CIRCUITOS ELETRÔNICOS I,6,G,GILSON INACIO WIRTH,202 - Laboratório de Ensino de Graduação - Campus: Centro,14,SEXTA,13:30,15:10
ENG04078,CIRCUITOS ELETRÔNICOS II,4,A,ADALBERTO SCHUCK JUNIOR,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,2,SEGUNDA,13:30,15:10
ENG04078,CIRCUITOS ELETRÔNICOS II,4,A,ADALBERTO SCHUCK JUNIOR,202 - Laboratório de Ensino de Graduação - Campus: Centro,2,SEGUNDA,15:30,17:10
ENG04078,CIRCUITOS ELETRÔNICOS II,4,B,ADALBERTO SCHUCK JUNIOR,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,2,SEGUNDA,13:30,15:10
ENG04078,CIRCUITOS ELETRÔNICOS II,4,B,ADALBERTO SCHUCK JUNIOR,202 - Laboratório de Ensino de Graduação - Campus: Centro,2,QUARTA,13:30,15:10
ENG04078,CIRCUITOS ELETRÔNICOS II,4,C,ADALBERTO SCHUCK JUNIOR,Sala 304 do(a) Escola de Engenharia (Eletrotécnico) - Campus: Centro,2,SEGUNDA,13:30,15:10
ENG04078,CIRCUITOS ELETRÔNICOS II,4,C,ADALBERTO SCHUCK JUNIOR,202 - Laboratório de Ensino de Graduação - Campus: Centro,2,SEXTA,15:30,17:10
INF01124,CLASSIFICAÇÃO E PESQUISA DE DADOS,4,A,JOAO LUIZ DIHL COMBA,SALA DE AULA 116 - PRÉDIO 43425 - Campus: Vale,14,TERCA,10:30,12:10
